dataset,seed,n_cal_fraud,resample,target,achieved,alert_pct,degenerate
K,42,30,17,0.9,0.9888,82.6905,True
K,42,30,17,0.95,1.0,100.0,True
K,42,30,18,0.8,0.8079,0.8425,False
K,42,30,18,0.9,0.9888,82.6905,True
K,42,30,18,0.95,0.9888,82.6905,True
K,42,30,19,0.8,0.8867,15.8278,False
K,42,30,19,0.9,1.0,100.0,True
K,42,30,19,0.95,1.0,100.0,True
K,42,30,20,0.8,0.765,0.6932,False
K,42,30,20,0.9,0.8867,15.8278,False
K,42,30,20,0.95,0.9888,82.6905,True
K,42,30,21,0.8,0.765,0.6932,False
K,42,30,21,0.9,0.8191,0.9188,False
K,42,30,21,0.95,0.9888,82.6905,True
K,42,30,22,0.8,0.8079,0.8425,False
K,42,30,22,0.9,0.8867,15.8278,False
K,42,30,22,0.95,1.0,100.0,True
K,42,30,23,0.8,0.8266,0.9906,False
K,42,30,23,0.9,0.8867,15.8278,False
K,42,30,23,0.95,0.9888,82.6905,True
K,42,30,24,0.8,0.8191,0.9188,False
K,42,30,24,0.9,0.8867,15.8278,False
K,42,30,24,0.95,0.9888,82.6905,True
K,42,30,25,0.8,0.7249,0.5882,False
K,42,30,25,0.9,0.9021,20.9475,False
K,42,30,25,0.95,0.9888,82.6905,True
K,42,30,26,0.8,0.8079,0.8425,False
K,42,30,26,0.9,0.8867,15.8278,False
K,42,30,26,0.95,1.0,100.0,True
K,42,30,27,0.8,0.8079,0.8425,False
K,42,30,27,0.9,0.9888,82.6905,True
K,42,30,27,0.95,0.9888,82.8604,True
K,42,30,28,0.8,0.8079,0.8425,False
K,42,30,28,0.9,0.9417,41.3979,False
K,42,30,28,0.95,0.9888,82.6905,True
K,42,30,29,0.8,0.8079,0.8425,False
K,42,30,29,0.9,0.9888,82.6905,True
K,42,30,29,0.95,1.0,100.0,True
K,42,30,30,0.8,0.8867,15.8278,False
K,42,30,30,0.9,0.9888,82.6905,True
K,42,30,30,0.95,0.9888,82.8604,True
K,42,30,31,0.8,0.8867,15.8278,False
K,42,30,31,0.9,0.8867,15.8278,False
K,42,30,31,0.95,0.9417,41.3979,False
K,42,30,32,0.8,0.8191,0.9188,False
K,42,30,32,0.9,0.9888,82.6905,True
K,42,30,32,0.95,0.9888,82.6905,True
K,42,30,33,0.8,0.8191,0.9188,False
